cited_by_count,year,title,venue,tool_type,method_class,doi
2047,2010,Recent decline in the global land evapotranspiration trend due to limited moisture supply,Nature,,Non-deterministic,10.1038/nature09396
1811,2014,"Standardized precipitation evapotranspiration index (SPEI) revisited: Parameter fitting, evapotranspiration models, tools, datasets and drought monitoring",International Journal of Climatology,Desktop / generic software,Deterministic,10.1002/joc.3887
1651,2007,Satellite-based energy balance for mapping evapotranspiration with internalized calibration (METRIC) - Model,Journal of Irrigation and Drainage Engineering,Remote-sensing / energy-balance model,Deterministic,10.1061/(asce)0733-9437(2007)133:4(380)
1401,2012,"A review of global terrestrial evapotranspiration: Observation, modeling, climatology, and climatic variability",Reviews of Geophysics,Remote-sensing / energy-balance model,Hybrid (both),10.1029/2011rg000373
1024,2022,Version 3 of the Global Aridity Index and Potential Evapotranspiration Database,Scientific Data,Crop model / irrigation DSS,Deterministic,10.1038/s41597-022-01493-1
842,2019,Coupled estimation of 500 m and 8-day resolution global evapotranspiration and gross primary production in 2002–2017,Remote Sensing of Environment,Cloud / analytics platform,Non-deterministic,10.1016/j.rse.2018.12.031
749,2007,Satellite-based energy balance for mapping evapotranspiration with internalized calibration (METRIC) - Applications,Journal of Irrigation and Drainage Engineering,Remote-sensing / energy-balance model,Deterministic,10.1061/(asce)0733-9437(2007)133:4(395)
680,2009,A review of current methodologies for regional Evapotranspiration estimation from remotely sensed data,Sensors,Remote-sensing / energy-balance model,Deterministic,10.3390/s90503801
662,2012,Use of Landsat thermal imagery in monitoring evapotranspiration and managing water resources,Remote Sensing of Environment,Remote-sensing / energy-balance model,Deterministic,10.1016/j.rse.2011.08.025
579,2013,Operational Evapotranspiration Mapping Using Remote Sensing and Weather Datasets: A New Parameterization for the SSEB Approach,Journal of the American Water Resources Association,Remote-sensing / energy-balance model,Hybrid (both),10.1111/jawr.12057
564,2007,A climatological study of evapotranspiration and moisture stress across the continental United States based on thermal remote sensing: 1. Model formulation,Journal of Geophysical Research Atmospheres,Remote-sensing / energy-balance model,Deterministic,10.1029/2006jd007506
553,1993,An Assimilated Dataset for Earth Science Applications,Bulletin of the American Meteorological Society,,Non-deterministic,10.1175/1520-0477(1993)074<2331:aadfes>2.0.co;2
543,2017,Revisiting the contribution of transpiration to global terrestrial evapotranspiration,Geophysical Research Letters,Other / unspecified,Unclassified,10.1002/2016gl072235
521,2019,Evaluation of CatBoost method for prediction of reference evapotranspiration in humid regions,Journal of Hydrology,Other / unspecified,Non-deterministic,10.1016/j.jhydrol.2019.04.085
511,1996,Use of remote sensing for evapotranspiration monitoring over land surfaces,Hydrological Sciences Journal,Remote-sensing / energy-balance model,Hybrid (both),10.1080/02626669609491522
479,2011,Mapping daily evapotranspiration at field to continental scales using geostationary and polar orbiting satellite imagery,Hydrology and Earth System Sciences,Remote-sensing / energy-balance model,Deterministic,10.5194/hess-15-223-2011
450,2006,Sensitivity of the Penman–Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,Journal of Hydrology,Other / unspecified,Unclassified,10.1016/j.jhydrol.2006.03.027
444,2019,Light Gradient Boosting Machine: An efficient soft computing model for estimating daily reference evapotranspiration with local and external meteorological data,Agricultural Water Management,Other / unspecified,Non-deterministic,10.1016/j.agwat.2019.105758
433,2000,Using the FAO-56 dual crop coefficient method over an irrigated region as part of an evapotranspiration intercomparison study,Journal of Hydrology,Remote-sensing / energy-balance model,Deterministic,10.1016/s0022-1694(99)00194-8
425,2011,Global estimates of evapotranspiration for climate studies using multi-sensor remote sensing data: Evaluation of three process-based approaches,Remote Sensing of Environment,Remote-sensing / energy-balance model,Deterministic,10.1016/j.rse.2010.11.006
418,2015,Projections of rapidly rising surface temperatures over Africa under low mitigation,Environmental Research Letters,,Non-deterministic,10.1088/1748-9326/10/8/085004
391,2007,A climatological study of evapotranspiration and moisture stress across the continental United States based on thermal remote sensing: 2. Surface moisture climatology,Journal of Geophysical Research Atmospheres,Remote-sensing / energy-balance model,Deterministic,10.1029/2006jd007507
381,2013,A comprehensive evaluation of two MODIS evapotranspiration products over the conterminous United States: Using point and gridded FLUXNET and water balance ET,Remote Sensing of Environment,Remote-sensing / energy-balance model,Hybrid (both),10.1016/j.rse.2013.07.013
365,2009,Global and continental drought in the second half of the twentieth century: Severity-area-duration analysis and temporal variability of large-scale events,Journal of Climate,,Non-deterministic,10.1175/2008jcli2722.1
339,2007,Spatially distributing monthly reference evapotranspiration and pan evaporation considering topographic influences,Journal of Hydrology,Other / unspecified,Deterministic,10.1016/j.jhydrol.2007.02.018
337,2004,Causes of long-term drought in the U.S. Great Plains,Journal of Climate,,Non-deterministic,10.1175/1520-0442(2004)017<0485:coldit>2.0.co;2
335,2014,Evapotranspiration estimation with remote sensing and various surface energy balance algorithms-a review,Energies,Remote-sensing / energy-balance model,Deterministic,10.3390/en7052821
314,2007,Integrating remote sensing and ground methods to estimate evapotranspiration,Critical Reviews in Plant Sciences,Remote-sensing / energy-balance model,Hybrid (both),10.1080/07352680701402503
305,2013,Evidence of the dependence of groundwater resources on extreme rainfall in East Africa,Nature Climate Change,,Non-deterministic,10.1038/nclimate1731
300,2020,Evolution of evapotranspiration models using thermal and shortwave remote sensing data,Remote Sensing of Environment,Remote-sensing / energy-balance model,Deterministic,10.1016/j.rse.2019.111594
